model,variant,class_id,class_name,ap50_95,ap50
yolo26m_dota,native1536,2,storage tank,0.351877809067812,0.5646569349422491
yolo26m_dota,native1536,3,baseball diamond,0.374915236552844,0.5744680460690266
yolo26m_dota,native1536,4,tennis court,0.8546263380116941,0.9001984786535063
yolo26m_dota,native1536,5,basketball court,0.46808374609728864,0.5460089332370258
yolo26m_dota,native1536,6,ground track field,0.30541421468798563,0.4448645948242495
yolo26m_dota,native1536,7,harbor,0.47987105962263554,0.7772106193298197
yolo26m_dota,native1536,8,bridge,0.16959451147651813,0.3595257056474585
yolo26m_dota,native1536,9,large vehicle,0.5570028234868697,0.7088209108797703
yolo26m_dota,native1536,10,small vehicle,0.20994679452478412,0.397949623940327
yolo26m_dota,native1536,11,helicopter,0.24072351545449513,0.45918520423470927
yolo26m_dota,native1536,12,roundabout,0.2229580209396853,0.3298955039410653
yolo26m_dota,native1536,13,soccer ball field,0.2858412041143596,0.3601194866528671
yolo26m_dota,native1536,14,swimming pool,0.24474737354041898,0.4893983797143561
yolo26m_dota,native1536,15,container crane,0.0,0.0
yolo26m_dota,native640,0,plane,0.2994409384530395,0.4485916945750371
yolo26m_dota,native640,1,ship,0.3194601008943681,0.5690972910337947
yolo26m_dota,native640,2,storage tank,0.14243261971873306,0.2667183870385925
yolo26m_dota,native640,3,baseball diamond,0.23813515550044081,0.33477938729210327
yolo26m_dota,native640,4,tennis court,0.7663411209332922,0.8307077909713131
yolo26m_dota,native640,5,basketball court,0.3159565595145572,0.3646621899373525
yolo26m_dota,native640,6,ground track field,0.1949248240363604,0.2616521282482326
yolo26m_dota,native640,7,harbor,0.25786995564410153,0.455772864637394
yolo26m_dota,native640,8,bridge,0.048163899200764325,0.10844101464672007
yolo26m_dota,native640,9,large vehicle,0.4742159379716402,0.6322729431304503
yolo26m_dota,native640,10,small vehicle,0.09878843276249928,0.18701412519307664
yolo26m_dota,native640,11,helicopter,0.11167719215530575,0.23830616144321198
yolo26m_dota,native640,12,roundabout,0.07328286256312495,0.09560535000868507
yolo26m_dota,native640,13,soccer ball field,0.23436113404783315,0.284702647935862
yolo26m_dota,native640,14,swimming pool,0.08267335124335985,0.173215307102122
yolo26m_dota,native640,15,container crane,0.0,0.0
yolo26m_dota,tile1024_ov10,0,plane,0.6873991505041033,0.9059224612292092
yolo26m_dota,tile1024_ov10,1,ship,0.6827973000544642,0.9127362116132208
yolo26m_dota,tile1024_ov10,2,storage tank,0.49763678452716537,0.7380160579516103
yolo26m_dota,tile1024_ov10,3,baseball diamond,0.436241118583627,0.7071265431101984
yolo26m_dota,tile1024_ov10,4,tennis court,0.8669110590481314,0.922238751087285
yolo26m_dota,tile1024_ov10,5,basketball court,0.5272996061576186,0.6313789340870979
yolo26m_dota,tile1024_ov10,6,ground track field,0.414348901946345,0.6146618852373807
yolo26m_dota,tile1024_ov10,7,harbor,0.4964861436175279,0.79387558608296
yolo26m_dota,tile1024_ov10,8,bridge,0.27319326910428593,0.5323817778329076
yolo26m_dota,tile1024_ov10,9,large vehicle,0.5832474274080478,0.7445931667076792
yolo26m_dota,tile1024_ov10,10,small vehicle,0.36851309022630074,0.6989911455414145
yolo26m_dota,tile1024_ov10,11,helicopter,0.29873450136390467,0.5629481403571505
yolo26m_dota,tile1024_ov10,12,roundabout,0.42089308202467873,0.6428957880610233
yolo26m_dota,tile1024_ov10,13,soccer ball field,0.35327235845349075,0.496099437672787
yolo26m_dota,tile1024_ov10,14,swimming pool,0.28655311978769293,0.5995906947119374
yolo26m_dota,tile1024_ov10,15,container crane,0.0,0.0
yolo26m_dota,tile1024_ov20,0,plane,0.6998411133090375,0.9098896063526759
yolo26m_dota,tile1024_ov20,1,ship,0.6831424301741751,0.91160139124724
yolo26m_dota,tile1024_ov20,2,storage tank,0.4925331436692603,0.735393466518589
yolo26m_dota,tile1024_ov20,3,baseball diamond,0.4263036425739187,0.7021608282898069
yolo26m_dota,tile1024_ov20,4,tennis court,0.8649785333528208,0.9214919938640801
yolo26m_dota,tile1024_ov20,5,basketball court,0.5261516159048786,0.6367991035687975
yolo26m_dota,tile1024_ov20,6,ground track field,0.425841925180806,0.6171828021184604
yolo26m_dota,tile1024_ov20,7,harbor,0.49500969559328206,0.7984358617059771
yolo26m_dota,tile1024_ov20,8,bridge,0.2752998091413256,0.5205705125212071
yolo26m_dota,tile1024_ov20,9,large vehicle,0.582583201342866,0.7440968742086169
yolo26m_dota,tile1024_ov20,10,small vehicle,0.3699642991952918,0.7048865757386285
yolo26m_dota,tile1024_ov20,11,helicopter,0.30389609170787685,0.5558649725817956
yolo26m_dota,tile1024_ov20,12,roundabout,0.4030817166129019,0.6166859622055352
yolo26m_dota,tile1024_ov20,13,soccer ball field,0.31781366419557994,0.44473911771187463
yolo26m_dota,tile1024_ov20,14,swimming pool,0.28805148725067803,0.6048491939694534
yolo26m_dota,tile1024_ov20,15,container crane,0.0,0.0
yolo26m_dota,tile512_ov10,0,plane,0.5491280446999576,0.8318680294940672
yolo26m_dota,tile512_ov10,1,ship,0.662020261935758,0.8979073855033294
yolo26m_dota,tile512_ov10,2,storage tank,0.46949751855434124,0.7139923441956367
yolo26m_dota,tile512_ov10,3,baseball diamond,0.35058902151416,0.6711512192412191
yolo26m_dota,tile512_ov10,4,tennis court,0.7208536306312778,0.8689810474861747
yolo26m_dota,tile512_ov10,5,basketball court,0.4418006135350664,0.5993844850121914
yolo26m_dota,tile512_ov10,6,ground track field,0.2933718652831128,0.48909662435937423
yolo26m_dota,tile512_ov10,7,harbor,0.38352684815435184,0.6791843152580003
